RA,Dec,z_helio,z_err,M*,M*_err,mass_bin,Probability
58.382992,32.492867,0.0135397567699,0.000392653,41000000000.0,0.5,4.0,3.905536207743195e-05
46.430611,36.786152,0.0162708081354,0.000471853,30000000000.0,1.0,4.0,4.080156200022499e-05
63.411591,25.482941,0.0123417061709,0.000357909,16000000000.0,0.2,4.0,4.46329257082379e-05
60.93325,22.159042,0.02006005003,0.000581741,40000000000.0,2.0,4.0,3.9189834982676744e-05
52.6223,36.94766,0.0161710580855,0.000468961,44000000000.0,0.6,4.0,3.8674067591910296e-05
54.904507,41.083576,0.0154736477368,0.000448736,22000000000.0,0.3,4.0,4.263651176735916e-05
54.541534,40.983097,0.0161126780563,0.000467268,12000000000.0,0.5,4.0,4.65409505737298e-05
63.064896,34.916439,0.0203996201998,0.000591589,40000000000.0,2.0,4.0,3.9189834982676744e-05
49.244778,31.567287,0.0137873468937,0.000399833,6000000000.0,0.3,3.0,5.157963282666464e-05
61.712,29.1795,0.0223188111594,0.000647246,49000000000.0,0.6,4.0,3.810213552111057e-05
45.464439,35.841213,0.0478901039451,0.00138881,200000000000.0,10.0,5.0,3.1542759784904666e-05
62.4909,36.99794,0.0221176310588,0.000641411,50000000000.0,2.0,4.0,3.79960037946725e-05
55.4355,39.97633,0.0160246880123,0.000464716,15000000000.0,0.2,4.0,4.505210753579022e-05
61.276077,31.026308,0.0160209080105,0.000464606,10000000000.0,0.5,3.0,4.780434491432291e-05
52.116,40.1544,0.0139206969603,0.0004037,14000000000.0,0.7,4.0,4.5505831702344675e-05
62.2929,21.44011,0.0213305506653,0.000618586,47000000000.0,0.6,4.0,3.832227085777376e-05
47.2134,27.21703,0.0359856179928,0.00104358,70000000000.0,3.0,4.0,3.6283318528727515e-05
53.59127,40.91925,0.0163436781718,0.000473967,9000000000.0,0.4,3.0,4.855426858587597e-05
49.6592,37.60806,0.0224072212036,0.000649809,30000000000.0,1.0,4.0,4.080156200022499e-05
56.9604,41.39439,0.0179917589959,0.000521761,19000000000.0,0.9,4.0,4.3540966427369487e-05
54.715885,40.990524,0.0195507997754,0.000566973,30000000000.0,1.0,4.0,4.080156200022499e-05
56.2835,18.62564,0.0275996837998,0.000800391,20000000000.0,1.0,4.0,4.322172736416762e-05
56.7393,40.44794,0.0386591293296,0.00112111,60000000000.0,3.0,4.0,3.705529147808151e-05
60.6258,21.62533,0.0212341606171,0.000615791,38000000000.0,0.5,4.0,3.947109180547417e-05
53.232979,36.253811,0.0428435914218,0.00124246,90000000000.0,4.0,4.0,3.506880124067236e-05
57.136005,35.15023,0.0175782687891,0.00050977,8000000000.0,0.4,3.0,4.941015314465005e-05
47.0272,30.47472,0.0384865092433,0.00111611,110000000000.0,1.0,5.0,3.413656650281763e-05
57.5032,41.56436,0.0366366183183,0.00106246,100000000000.0,1.0,4.0,3.457528783111223e-05
44.917961,32.800335,0.0376347488174,0.00109141,40000000000.0,2.0,4.0,3.9189834982676744e-05
54.3901,23.29322,0.02242003121,0.000650181,43000000000.0,0.5,4.0,3.879766706162081e-05
47.7822,35.32489,0.0190444895222,0.00055229,20000000000.0,0.9,4.0,4.322172736416762e-05
65.8594,29.16636,0.0303385051693,0.000879817,50000000000.0,2.0,4.0,3.79960037946725e-05
44.076,31.89717,0.015452017726,0.000448109,11000000000.0,0.1,4.0,4.7138529185448596e-05
51.352901,40.536736,0.0122144461072,0.000354219,3000000000.0,0.1,3.0,5.7228581392301396e-05
61.78854,30.34169,0.0193055196528,0.00055986,15000000000.0,0.7,4.0,4.505210753579022e-05
65.1823,35.84358,0.0216224508112,0.000627051,29000000000.0,0.4,4.0,4.099709975216682e-05
46.8474,37.83614,0.0170986285493,0.00049586,6000000000.0,0.3,3.0,5.157963282666464e-05
51.956,35.90464,0.0409727004864,0.00118821,90000000000.0,1.0,4.0,3.506880124067236e-05
55.1378,39.13561,0.0420854910427,0.00122048,60000000000.0,3.0,4.0,3.705529147808151e-05
49.2721,40.26187,0.0275996837998,0.000800391,30000000000.0,2.0,4.0,4.080156200022499e-05
54.9455,24.13215,0.0597635098818,0.00173314,160000000000.0,2.0,5.0,3.248004496863373e-05
51.5922,37.53592,0.0269841734921,0.000782541,30000000000.0,1.0,4.0,4.080156200022499e-05
53.919868,38.410095,0.0434206717103,0.0012592,70000000000.0,3.0,4.0,3.6283318528727515e-05
57.1914,33.47397,0.0283565241783,0.000822339,40000000000.0,2.0,4.0,3.9189834982676744e-05
45.5364,29.10818,0.0102774051387,0.000298045,1700000000.0000002,0.08,3.0,6.184704042748782e-05
52.98,39.45614,0.0247655223828,0.0007182,32000000000.0,0.4,4.0,4.043263631398196e-05
51.7641,31.74778,0.0466288433144,0.00135224,90000000000.0,1.0,4.0,3.506880124067236e-05
52.194168,36.556278,0.0158312779156,0.000459107,12000000000.0,0.5,4.0,4.65409505737298e-05
60.924561,32.128296,0.0174703287352,0.00050664,20000000000.0,0.3,4.0,4.322172736416762e-05
53.20927,36.218681,0.0193964496982,0.000562497,13000000000.0,0.6,4.0,4.5999746061620094e-05
46.2006,24.62325,0.0478901039451,0.00138881,120000000000.0,2.0,5.0,3.374231595749396e-05
55.1187,40.06311,0.0161710580855,0.000468961,6000000000.0,0.3,3.0,5.157963282666464e-05
55.2306,23.59272,0.0589774794887,0.00171035,180000000000.0,2.0,5.0,3.198088891800822e-05
61.040314,22.131767,0.0203712701856,0.000590767,16000000000.0,0.8,4.0,4.46329257082379e-05
47.0607,27.56042,0.0358247579124,0.00103892,58000000000.0,0.7,4.0,3.722791123438724e-05
44.768353,32.630497,0.0384865092433,0.00111611,50000000000.0,3.0,4.0,3.79960037946725e-05
53.2378,33.46236,0.0630094815047,0.00182727,300000000000.0,10.0,5.0,2.9927393292758437e-05
62.4971,28.01192,0.041156030578,0.00119352,50000000000.0,3.0,4.0,3.79960037946725e-05
48.8997,37.91283,0.0173911586956,0.000504344,10000000000.0,0.5,3.0,4.780434491432291e-05
58.411007,40.889088,0.0372989586495,0.00108167,70000000000.0,3.0,4.0,3.6283318528727515e-05
57.6639,41.04797,0.0231415915708,0.000671106,20000000000.0,0.9,4.0,4.322172736416762e-05
48.9269,27.49011,0.0566788183394,0.00164369,90000000000.0,4.0,4.0,3.506880124067236e-05
53.003384,39.625881,0.0247655223828,0.0007182,20000000000.0,0.9,4.0,4.322172736416762e-05
63.2877,35.44308,0.0231415915708,0.000671106,17000000000.0,0.8,4.0,4.4243724317337414e-05
63.0782,26.62909,0.0544662572331,0.00157952,80000000000.0,4.0,4.0,3.563134847741732e-05
59.0964,27.889,0.0551943275972,0.00160064,80000000000.0,4.0,4.0,3.563134847741732e-05
46.3518,24.67272,0.0311688455844,0.000903897,30000000000.0,1.0,4.0,4.080156200022499e-05
48.2291,22.52194,0.0426527013264,0.00123693,60000000000.0,3.0,4.0,3.705529147808151e-05
53.8146,41.33239,0.0413404106702,0.00119887,50000000000.0,3.0,4.0,3.79960037946725e-05
47.1399,27.23822,0.0351878275939,0.00102045,49000000000.0,0.6,4.0,3.810213552111057e-05
53.433,36.27936,0.0428435914218,0.00124246,30000000000.0,1.0,4.0,4.080156200022499e-05
49.278366,31.583393,0.0135048967524,0.000391642,4000000000.0,0.2,3.0,5.482280119476374e-05
64.774796,26.179983,0.0121413660707,0.0003521,1700000000.0000002,0.08,3.0,6.184704042748782e-05
52.203327,40.168507,0.0157206078603,0.000455898,3900000000.0,0.05,3.0,5.5031783924735126e-05
51.942,31.25756,0.045197902599,0.00131074,70000000000.0,0.9,4.0,3.6283318528727515e-05
58.439476,36.798809,0.0202013801007,0.00058584,11000000000.0,0.5,4.0,4.7138529185448596e-05
63.2913,26.32453,0.053509916755,0.00155179,90000000000.0,1.0,4.0,3.506880124067236e-05
45.5514,27.16622,0.0369665284833,0.00107203,67000000000.0,0.8,4.0,3.650054448498098e-05
44.496384,25.423941,0.025936,0.0051872,4000000000.0,0.3,3.0,5.482280119476374e-05
46.942749,38.371902,0.018144,0.0036288,8000000000.0,0.4,3.0,4.941015314465005e-05
47.74752,38.659039,0.008985,0.001797,400000000.0,0.03,2.0,6.111263209577013e-05
50.922733,38.128773,0.016802,0.0033604,1400000000.0000002,0.08,3.0,6.312296721912693e-05
54.736702,20.402372,0.024423,0.0048846,11000000000.0,0.7,4.0,4.7138529185448596e-05
55.618538,38.967869,0.018625,0.003725,11000000000.0,0.6,4.0,4.7138529185448596e-05
60.18174,21.053902,0.014701,0.0029402,4000000000.0,0.2,3.0,5.482280119476374e-05
60.609638,26.824467,0.036853,0.0073706,13000000000.0,0.8,4.0,4.5999746061620094e-05
61.425179,25.497849,0.016623,0.0033246,2000000000.0,0.1,3.0,6.0603813519280345e-05
44.035969,27.700512,0.020901940451,0.00418039,1200000000.0,0.07,3.0,6.38846550790492e-05
45.517788,25.793463,0.035006,0.0070012,8000000000.0,0.5,3.0,4.941015314465005e-05
63.505562,26.750111,0.060986,0.0121972,12000000000.0,0.7,4.0,4.65409505737298e-05
61.461407,30.717569,0.0198118299059,0.00396237,20000000000.0,1.0,4.0,4.322172736416762e-05
61.065205,30.814135,0.017191,0.0034382,4000000000.0,0.2,3.0,5.482280119476374e-05
53.403477,39.434654,0.034048,0.0068096,8000000000.0,0.3,3.0,4.941015314465005e-05
49.94619,37.762005,0.017911,0.0035822,14000000000.0,0.8,4.0,4.5505831702344675e-05
54.028927,38.961823,0.026243,0.0052486,20000000000.0,1.0,4.0,4.322172736416762e-05
54.241417,20.604521,0.024609,0.0049218,15000000000.0,0.9,4.0,4.505210753579022e-05
54.894917,20.708857,0.018165,0.003633,3000000000.0,0.2,3.0,5.7228581392301396e-05
60.763927,21.7477,0.023453,0.0046906,8000000000.0,0.5,3.0,4.941015314465005e-05
63.571846,23.204454,0.035536,0.0071072,40000000000.0,2.0,4.0,3.9189834982676744e-05
58.790142,28.344612,0.035143,0.0070286,12000000000.0,0.7,4.0,4.65409505737298e-05
63.742851,33.739483,0.011249915625,0.00224998,1000000000.0,0.07,2.0,6.440014579178909e-05
64.935051,35.958164,0.028596,0.0057192,50000000000.0,3.0,4.0,3.79960037946725e-05
43.943413,33.766605,0.00495201247601,0.000990402,130000000.0,0.008,2.0,5.333514314147036e-05
45.154305,35.629005,0.0162867681434,0.00325735,5000000000.0,0.3,3.0,5.3012305173910116e-05
45.403137,31.819248,0.020448,0.0040896,6000000000.0,0.3,3.0,5.157963282666464e-05
